device_id	collected_at	true_brix	server_brix	ch415	ch445	ch480	ch515	ch555	ch595	ch640	ch680	chClear	chNIR
1001-01-01	1779195954	9.3	15.00	3049	3221	3715	9925	15700	22539	25192	8959	51000	5686
1001-01-01	1779195957	9.3	14.47	3268	3895	4293	11329	16019	27018	25546	10888	51000	5628
1001-01-01	1779195960	9.3	15.82	3034	3123	3655	7837	10691	20322	13176	8511	51000	5816
1001-01-01	1779195963	9.3	15.52	2862	3537	3805	7654	11727	17276	13266	9085	51000	5974
1001-01-01	1779195967	9.3	14.42	3299	4082	5271	9983	14371	25043	16849	10953	51000	6301
1001-01-01	1779195971	9.3	12.60	4153	4882	6417	12512	17287	33207	22439	13494	51000	7385
1001-01-01	1779195974	9.3	15.98	2047	2728	3214	5741	7548	12910	11042	6931	39071	4044
1001-01-01	1779195977	9.3	13.52	3777	4605	5684	12679	17782	32539	22447	12665	51000	6473
1001-01-01	1779195983	9.3	12.56	4169	5112	6308	15869	22518	38808	31454	13876	51000	6834
1001-01-01	1779195987	9.3	11.38	4577	5863	7415	18391	27364	44120	38580	16244	51000	7507
1001-01-01	1779195990	9.3	13.49	3308	4133	5176	11656	17920	25634	25919	11506	51000	6592
1001-01-01	1779195993	9.3	12.01	4521	5042	6629	17978	23424	42801	38733	14783	51000	6923
1001-01-01	1779195998	9.3	12.32	4504	5212	7319	15321	19399	36183	27394	14924	51000	7036
1001-01-01	1779196002	9.3	14.38	2725	3105	3288	10268	12911	20544	26553	8401	43224	4800
1001-01-01	1779196005	9.3	15.17	2108	2508	2593	5880	7879	11703	10097	6453	34178	3990
1001-01-01	1779196007	9.3	15.19	2116	2542	2642	5944	7976	11825	10228	6489	34408	4002
1001-01-01	1779196012	9.3	14.84	2678	3509	3609	8332	10511	16521	16881	8707	45011	5157
1001-01-01	1779196017	9.3	11.33	4794	6678	8683	20792	26113	45650	45343	16928	51000	7053
1001-01-01	1779196022	9.3	12.06	4426	5594	7126	17075	22174	40769	36669	15204	51000	6824
1001-01-01	1779196027	9.3	14.73	3370	4215	5235	12959	17493	29660	27823	10904	51000	5282
1001-01-01	1779196031	9.3	11.42	4647	6794	7925	20022	27591	44683	44389	17577	51000	6867
1001-01-01	1779196038	9.3	15.69	3106	3682	4477	11797	15641	27377	24424	9655	51000	4852
1001-01-01	1779196042	9.3	16.98	2759	3311	3911	10110	13393	23391	19060	8337	51000	4376
1001-01-01	1779196047	9.3	16.79	2758	3280	3852	10239	13852	23719	21230	8476	50860	4349
1001-01-01	1779196051	9.3	16.88	2759	3166	3688	10557	13923	24350	22065	8451	50523	4190
1001-01-01	1779196054	9.3	16.53	2763	3420	3828	10810	15044	24334	23543	9008	49373	4108
1001-01-01	1779196058	9.3	16.13	2213	2697	2827	7780	10977	17234	16263	6559	37360	3490
1001-01-01	1779196061	9.3	14.75	1593	2300	2291	4114	5059	7019	8256	4768	26376	3290
1001-01-01	1779196065	9.3	15.19	1427	1894	1901	3319	3746	5575	4970	3999	23410	3042
