device_id	collected_at	true_brix	server_brix	ch415	ch445	ch480	ch515	ch555	ch595	ch640	ch680	chClear	chNIR
1001-01-01	1779181276	8.7	17.16	2193	3031	3976	6942	8105	15069	12791	6210	43039	3946
1001-01-01	1779181282	8.7	12.24	3606	7806	9048	16097	28816	32715	34554	16879	51000	6503
1001-01-01	1779181289	8.7	15.07	2761	5035	6019	11038	17521	22907	22123	10437	51000	5418
1001-01-01	1779181295	8.7	14.27	3461	5050	6524	12113	16331	29876	22299	11942	51000	5782
1001-01-01	1779181313	8.7	12.38	3726	7432	8507	15011	26334	36461	29762	15685	51000	6821
1001-01-01	1779181316	8.7	15.02	3038	5543	6739	12260	19226	28968	25127	11335	51000	5086
1001-01-01	1779181320	8.7	12.33	4072	7253	9117	17145	25362	40880	33273	15918	51000	6594
1001-01-01	1779181323	8.7	12.62	3781	7412	8714	15246	23960	37072	27825	15597	51000	6605
1001-01-01	1779181325	8.7	14.61	2243	4351	5105	9579	14188	18261	22312	8798	38981	3975
1001-01-01	1779181329	8.7	12.88	3780	6869	8299	15586	24709	38105	30504	15166	51000	6248
1001-01-01	1779181335	8.7	14.82	3183	4817	5974	10165	11990	24781	18029	10671	51000	5719
1001-01-01	1779181340	8.7	13.53	3714	5523	7012	15104	22672	35770	31318	12957	51000	5946
1001-01-01	1779181346	8.7	15.97	2331	4351	4866	7131	9983	14242	11724	8546	45168	4690
1001-01-01	1779181350	8.7	6.42	7485	12781	16695	32538	50999	51000	51000	33564	51000	12380
1001-01-01	1779181355	8.7	16.27	2371	4071	4635	7069	9219	13921	12175	7996	46306	4724
1001-01-01	1779181360	8.7	14.89	1896	3253	3705	6308	8369	11778	12436	6225	33206	3868
1001-01-01	1779181365	8.7	16.56	2417	4375	5275	7529	9769	14299	13692	8254	49016	4722
1001-01-01	1779181370	8.7	15.47	2533	5213	6274	9110	13381	16849	18534	9904	49995	5124
1001-01-01	1779181373	8.7	15.28	1809	3223	3820	5774	7017	10320	11748	6029	32986	3614
1001-01-01	1779181378	8.7	15.95	2166	3804	4537	6996	9794	13684	12428	7597	41615	4282
1001-01-01	1779181381	8.7	15.77	2035	3469	4332	6321	7856	11705	11126	6767	38256	4116
1001-01-01	1779181386	8.7	14.22	3512	4904	6428	13921	19171	33966	30319	11831	51000	5468
1001-01-01	1779181391	8.7	16.89	2719	3554	4788	7962	9241	18830	13839	7818	51000	4864
1001-01-01	1779181398	8.7	15.98	1933	3217	4000	5584	5786	9860	8920	6119	36006	3892
1001-01-01	1779181402	8.7	15.54	1930	3908	4606	6066	7441	10382	11539	6671	36154	3862
1001-01-01	1779181409	8.7	15.41	2843	4661	6034	11555	16469	25498	27335	10300	51000	4804
1001-01-01	1779181415	8.7	15.54	2130	3968	4586	6314	8243	11096	10858	7103	39745	4515
1001-01-01	1779181421	8.7	14.59	3246	5125	6429	12319	18681	29147	25673	10838	51000	5592
1001-01-01	1779181425	8.7	17.28	2246	2950	3715	6443	6597	14048	12996	6138	44012	3940
1001-01-01	1779181437	8.7	14.66	3364	5306	6640	9857	10544	23361	18250	10498	51000	5848
1001-01-01	1779181443	8.7	13.26	3584	6265	7711	14670	19908	32136	31621	13637	51000	5982
1001-01-01	1779181446	8.7	12.94	3966	6285	8425	16087	20987	35314	35069	13319	51000	6284
1001-01-01	1779181513	8.7	16.34	2077	3571	4206	6122	6994	12220	10569	6756	39851	3989
1001-01-01	1779181521	8.7	15.10	1760	3026	3549	5354	6235	9162	10236	5766	31796	3692
1001-01-01	1779181526	8.7	13.73	3535	5301	7038	14622	20049	32552	31799	12095	51000	5858
1001-01-01	1779181531	8.7	17.04	2338	3633	4683	6162	7223	13037	10096	6958	48132	4866
1001-01-01	1779181537	8.7	14.43	2402	5020	5780	9560	14428	16917	20103	9216	42439	4788
1001-01-01	1779181541	8.7	13.81	3628	5179	6999	14456	19400	32899	30558	12006	51000	5845
1001-01-01	1779181547	8.7	11.07	4516	8162	10164	19041	27308	42030	41059	17786	51000	7438
1001-01-01	1779181551	8.7	12.56	3982	6189	8047	16037	22672	36243	33346	13681	51000	6780
1001-01-01	1779181559	8.7	15.29	1770	2904	3444	5702	6844	9582	12387	5394	31561	3492
1001-01-01	1779181563	8.7	15.74	2057	3242	3924	6553	7698	12662	13891	6241	37788	3968
1001-01-01	1779181578	8.7	15.37	1748	3174	3722	5376	6245	9169	9589	5781	32316	3680
1001-01-01	1779181607	8.7	14.71	1780	3508	3919	5664	7754	9423	10893	6164	32075	3898
1001-01-01	1779181614	8.7	13.37	3640	5505	7318	13568	20312	32799	28554	12407	51000	6367
1001-01-01	1779181618	8.7	12.85	3757	5820	7612	14862	22723	35512	32620	13251	51000	6585
1001-01-01	1779181623	8.7	14.41	3244	5026	6120	11335	17390	27190	22022	10920	51000	5970
1001-01-01	1779181629	8.7	14.02	3577	4661	6301	12339	17849	29197	25021	10661	51000	6290
1001-01-01	1779181632	8.7	14.10	3787	4520	6111	12552	14333	30959	26060	10610	51000	6010
1001-01-01	1779181636	8.7	9.87	5325	7935	10771	21461	31087	49264	45748	18425	51000	8933
1001-01-01	1779181641	8.7	16.98	1992	2737	3202	5921	8006	12098	9648	5638	38883	3902
1001-01-01	1779181653	8.7	12.73	3769	6864	8580	16556	22682	34915	35207	14521	51000	6264
1001-01-01	1779181657	8.7	14.47	3297	4730	6089	12292	15150	28382	29760	11222	51000	5276
1001-01-01	1779181660	8.7	14.23	3364	4857	6544	12722	17472	28859	27828	11262	51000	5685
1001-01-01	1779181663	8.7	15.33	2041	3521	4273	8415	13799	16169	18196	7358	39198	4088
1001-01-01	1779181666	8.7	16.60	2867	3287	4384	9649	12992	22895	19698	7956	51000	4754
1001-01-01	1779181670	8.7	13.93	3557	4714	6354	12819	18111	31905	29065	11409	51000	5919
1001-01-01	1779181673	8.7	14.90	3005	4653	5825	11450	17491	26804	23680	10299	51000	5517
1001-01-01	1779181676	8.7	17.15	2447	4507	5352	7253	8765	14933	13041	7231	49214	4600
1001-01-01	1779181690	8.7	13.30	3769	5664	7428	15556	21598	35031	33377	13007	51000	6049
1001-01-01	1779181695	8.7	12.01	3732	7174	8563	13737	21179	30835	23934	14651	51000	7888
1001-01-01	1779181698	8.7	12.39	3714	6438	8235	11893	18271	28330	19622	14299	51000	7759
